Q2,xBj,sigma,d stat,d uncor,d cor,d rel,d p,d had,d 1,d 2,d 3,d 4,d tot
4.5,0.800x10-3,0.72,0.82,1.29,0.88,0.33,0.04,-0.14,0.3,0,0.03,0.05,1.82
4.5,0.130x10-2,0.665,0.85,1.31,0.97,0.38,-0.07,0.02,0.42,0,0.03,0.06,1.93
4.5,0.200x10-2,0.615,0.88,1.31,0.91,0.35,0.31,-0.24,0.18,0,0.03,0.04,1.9
4.5,0.320x10-2,0.572,0.67,1.23,0.97,0.41,-0.17,-0.33,-0.09,0,0.03,0.08,1.79
4.5,0.130x10-1,0.43,0.71,1.86,1.52,0.4,-0.36,-1.3,-0.96,0,0.01,0.1,3.03
6.5,0.754x10-4,1.117,6.27,4.15,1.14,0.64,-0.18,-0.42,-0.02,0.04,-0.02,-0.27,7.65
6.5,0.803x10-4,1.085,3.1,2.64,2.25,0.56,-2.84,-0.01,-1.89,-0.11,0,0.03,5.8
6.5,0.855x10-4,1.097,2.29,2.61,1.16,1.78,-0.28,-0.45,-0.05,-0.69,-0.01,0.05,4.17
6.5,0.951x10-4,1.084,2.62,2.28,1.37,0.91,-1.47,-0.04,-1.12,0.08,0.01,0.02,4.26
6.5,0.986x10-4,1.177,1.94,2.19,0.91,0.99,-0.22,-0.32,-0.03,-0.22,-0.01,-0.18,3.25
6.5,0.130x10-3,1.113,1.08,1.37,0.8,0.49,-0.17,-0.12,-0.08,0.01,0,-0.11,2
6.5,0.200x10-3,1.112,0.93,0.63,0.79,0.42,-0.29,-0.15,0.04,0.02,0.04,-0.02,1.48
